Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Running Time,License
A Good Day to Die Hard,2013,Twentieth Century Fox,92000000,24834845,67349198,237304984,304654182,1 hr 38 min,R
Mulan,1998,Walt Disney Studios Motion Pictures,June 19 1998 (Domestic),22745143,120620254,183700000,304320254,1 hr 38 min,R
Dangal,2016,UTV Motion Pictures,December 21 2016 (Domestic),3248481,12391761,291331875,303723636,1 hr 38 min,R
Passengers,2016,Sony Pictures Entertainment (SPE),110000000,14869736,100014699,203129453,303144152,1 hr 56 min,PG-13
Battleship,2012,Universal Pictures,209000000,25534825,65422625,237602860,303025485,2 hr 11 min,PG-13
Liar Liar,1997,Universal Pictures,March 21 1997 (Domestic),31423025,181410615,121300000,302710615,2 hr 11 min,PG-13
G.I. Joe: The Rise of Cobra,2009,Paramount Pictures,175000000,54713046,150201498,152267519,302469017,1 hr 58 min,PG-13
Wrath of the Titans,2012,Warner Bros.,150000000,33457188,83670083,218300000,301970083,1 hr 39 min,PG-13
Fantastic Four: Rise of the Silver Surfer,2007,Twentieth Century Fox,130000000,58051684,131921738,169991393,301913131,1 hr 32 min,PG
Hook,1991,TriStar Pictures,70000000,13522535,119654823,181200000,300854823,2 hr 22 min,NA
Superman,1978,Warner Bros.,55000000,7465343,134478449,166000000,300478449,2 hr 23 min,PG
Rocky IV,1985,United Artists,November 27 1985 (Domestic),19991537,127873716,172600000,300473716,2 hr 23 min,PG
Rambo: First Blood Part II,1985,TriStar Pictures,May 22 1985 (Domestic),20176217,150415432,149985000,300400432,2 hr 23 min,PG
Resident Evil: Afterlife,2010,Screen Gems,60000000,26650264,60128566,240099518,300228084,1 hr 36 min,R
Van Helsing,2004,Universal Pictures,160000000,51748040,120177084,179980554,300157638,2 hr 11 min,PG-13
Stuart Little,1999,Sony Pictures Entertainment (SPE),133000000,15018223,140035367,160100000,300135367,1 hr 24 min,PG
Beverly Hills Cop II,1987,Paramount Pictures,May 20 1987 (Domestic),26348555,153665036,146300000,299965036,1 hr 24 min,PG
Alice Through the Looking Glass,2016,Walt Disney Studios Motion Pictures,170000000,26858726,77041381,222779417,299820798,1 hr 53 min,PG
My Best Friend's Wedding,1997,Sony Pictures Entertainment (SPE),38000000,21678377,127120029,172168576,299288605,1 hr 45 min,PG-13
Real Steel,2011,Walt Disney Studios Motion Pictures,October 5 2011 (Egypt),27319677,85468508,213800000,299268508,1 hr 45 min,PG-13
Horton Hears a Who!,2008,Twentieth Century Fox,85000000,45012998,154529439,144043360,298572799,1 hr 26 min,NA
Ocean's Eight,2018,Warner Bros.,70000000,41607378,140295726,157500000,297795726,1 hr 50 min,PG-13
A Quiet Place Part II,2020,Paramount Pictures,May 26 2021 (Indonesia),47547231,160072261,137300000,297372261,1 hr 50 min,PG-13
The Divergent Series: Insurgent,2015,Lionsgate,110000000,52263680,130179072,166823455,297002527,1 hr 59 min,PG-13
Look Who's Talking,1989,TriStar Pictures,October 13 1989 (Domestic),12107784,140088813,156911000,296999813,1 hr 59 min,PG-13
Austin Powers in Goldmember,2002,New Line Cinema,63000000,73071188,213307889,83630912,296938801,1 hr 34 min,PG-13
Ghostbusters,1984,Columbia Pictures,30000000,13578151,243578797,53000000,296578797,1 hr 45 min,NA
Miss Peregrine's Home for Peculiar Children,2016,Twentieth Century Fox,110000000,28871140,87242834,209239612,296482446,2 hr 7 min,PG-13
X-Men,2000,Twentieth Century Fox,75000000,54471475,157299718,139039810,296339528,1 hr 44 min,PG-13
Ferdinand,2017,Twentieth Century Fox,111000000,13401586,84410380,211658819,296069199,1 hr 48 min,PG
Shutter Island,2010,Paramount Pictures,80000000,41062440,128012934,166792763,294805697,2 hr 18 min,R
Doctor Dolittle,1998,Twentieth Century Fox,June 26 1998 (Domestic),29014324,144156605,150300000,294456605,2 hr 18 min,R
Bee Movie,2007,DreamWorks,150000000,38021044,126631277,166883059,293514336,1 hr 31 min,PG
Salt,2010,Sony Pictures Entertainment (SPE),110000000,36011243,118311368,175191986,293503354,1 hr 40 min,PG-13
G-Force,2009,Walt Disney Studios Motion Pictures,150000000,31706934,119436770,173381128,292817898,1 hr 28 min,PG
The Departed,2006,Warner Bros.,90000000,26887467,132399394,159081058,291480452,2 hr 31 min,R
What Lies Beneath,2000,DreamWorks Distribution,100000000,29702959,155464351,135956000,291420351,2 hr 10 min,PG-13
Pacific Rim: Uprising,2018,Universal Pictures,150000000,28116535,59874525,231055623,290930148,1 hr 51 min,PG-13
The Bourne Supremacy,2004,Universal Pictures,75000000,52521865,176241941,114593328,290835269,1 hr 48 min,PG-13
Sex and the City 2,2010,Warner Bros.,100000000,31001870,95347692,195397363,290745055,2 hr 26 min,R
Shakespeare in Love,1998,Miramax,25000000,224012,100317794,189000000,289317794,2 hr 3 min,R
Divergent,2014,Lionsgate,85000000,54607747,150947895,137937923,288885818,2 hr 19 min,PG-13
Coming to America,1988,Paramount Pictures,June 29 1988 (Domestic),21404420,128152301,160600000,288752301,2 hr 19 min,PG-13
Elvis,2022,Warner Bros.,June 9 2022 (Slovakia),31211579,151040048,137630236,288670284,2 hr 19 min,PG-13
Wedding Crashers,2005,New Line Cinema,40000000,32200000,209273411,79211724,288485135,1 hr 59 min,R
Maze Runner: The Death Cure,2018,Twentieth Century Fox,62000000,24167011,58032443,230142892,288175335,2 hr 23 min,PG-13
Casper,1995,Universal Pictures,May 26 1995 (Domestic),16840385,100328194,187600000,287928194,2 hr 23 min,PG-13
American Pie 2,2001,Universal Pictures,30000000,45117985,145103595,142450000,287553595,1 hr 48 min,R
Pitch Perfect 2,2015,Universal Pictures,29000000,69216890,184296230,102847849,287144079,1 hr 55 min,PG-13
The Green Mile,1999,Warner Bros.,60000000,18017152,136801374,150000000,286801374,3 hr 9 min,R
Oblivion,2013,Universal Pictures,120000000,37054485,89107235,197061337,286168572,2 hr 4 min,PG-13
Elysium,2013,TriStar Pictures,115000000,29807393,93050117,193090583,286140700,1 hr 49 min,R
Lethal Weapon 4,1998,Warner Bros.,140000000,34048124,130444603,155000000,285444603,2 hr 7 min,R
John Carter,2012,Walt Disney Studios Motion Pictures,250000000,30180188,73078100,211061000,284139100,2 hr 12 min,PG-13
Turbo,2013,Twentieth Century Fox,135000000,21312625,83028128,199542554,282570682,1 hr 36 min,PG
Paddington,2014,Dimension Films,55000000,18966676,76271832,206167002,282438834,1 hr 35 min,PG
The Tourist,2010,Sony Pictures Entertainment (SPE),100000000,16472458,67631157,211149284,278780441,1 hr 43 min,PG-13
Split,2016,Universal Pictures,9000000,40010975,138291365,140163052,278454417,1 hr 57 min,PG-13
Scary Movie,2000,Miramax,19000000,42346669,157019771,121000000,278019771,1 hr 28 min,R
xXx,2002,Revolution Studios,70000000,44506103,142109382,135339000,277448382,2 hr 4 min,PG-13
The Bourne Legacy,2012,Universal Pictures,125000000,38142825,113203870,162940880,276144750,2 hr 15 min,PG-13
Mr. Peabody & Sherman,2014,Twentieth Century Fox,145000000,32207057,111506430,164191609,275698039,1 hr 32 min,PG
Scooby-Doo,2002,Warner Bros.,84000000,54155312,153322074,122356539,275678613,1 hr 29 min,PG
Lincoln,2012,Walt Disney Studios Motion Pictures,65000000,944308,182207973,93085477,275293450,2 hr 30 min,PG-13
Creed III,2023,United Artists Releasing,March 1 2023 (EMEA APAC),58370007,156248615,119000000,275248615,2 hr 30 min,PG-13
Lara Croft: Tomb Raider,2001,Paramount Pictures,115000000,47735743,131168070,143535270,274703340,1 hr 40 min,PG-13
Tomb Raider,2018,Warner Bros.,94000000,23633317,58250803,216400000,274650803,1 hr 59 min,PG-13
The Expendables,2010,Lionsgate,80000000,34825135,103068524,171401870,274470394,1 hr 43 min,R
Cloudy with a Chance of Meatballs 2,2013,Sony Pictures Entertainment (SPE),78000000,34017930,119793567,154532382,274325949,1 hr 35 min,PG
The Nutty Professor,1996,Universal Pictures,54000000,25411725,128814019,145147000,273961019,1 hr 35 min,PG-13
Jerry Maguire,1996,Sony Pictures Entertainment (SPE),50000000,17084296,153952592,119600000,273552592,2 hr 19 min,R
Bad Boys II,2003,Sony Pictures Entertainment (SPE),130000000,46522560,138608444,134731112,273339556,2 hr 27 min,R
Lilo & Stitch,2002,Walt Disney Studios Motion Pictures,80000000,35260212,145794338,127349813,273144151,1 hr 25 min,PG
The Silence of the Lambs,1991,Orion Pictures,19000000,13766814,130742922,142000000,272742922,1 hr 58 min,NA
Grown Ups,2010,Sony Pictures Entertainment (SPE),80000000,40506562,162001186,109456115,271457301,1 hr 42 min,PG-13
Neighbors,2014,Universal Pictures,18000000,49033915,150157400,120507734,270665134,1 hr 37 min,R
The Firm,1993,Paramount Pictures,July 2 1993 (Domestic),25400000,158348367,111900000,270248367,1 hr 37 min,R
We're the Millers,2013,Warner Bros.,37000000,26419396,150394119,119600000,269994119,1 hr 50 min,R
Gran Torino,2008,Warner Bros.,33000000,271720,148095302,121862926,269958228,1 hr 56 min,R
"10,000 BC",2008,Warner Bros.,105000000,35867488,94784201,175000000,269784201,1 hr 49 min,PG-13
American Gangster,2007,Universal Pictures,100000000,43565135,130164645,139590785,269755430,2 hr 37 min,R
The Flash,2023,Warner Bros.,June 14 2023 (APAC EMEA),55043679,108133313,160400000,268533313,2 hr 37 min,R
Epic,2013,Twentieth Century Fox,100000000,33531068,107518682,160907952,268426634,1 hr 42 min,PG
Exodus: Gods and Kings,2014,Twentieth Century Fox,140000000,24115934,65014513,203161118,268175631,2 hr 30 min,PG-13
Blade Runner 2049,2017,Warner Bros.,150000000,32753122,92071675,175699033,267770708,2 hr 44 min,R
Bambi,1942,RKO Radio Pictures,150000000,August 21 1942 (Domestic),102247150,165200000,267447150,2 hr 44 min,R
The Princess and the Frog,2009,Walt Disney Studios Motion Pictures,105000000,786190,104400899,162644866,267045765,1 hr 37 min,NA
Batman Returns,1992,Warner Bros.,80000000,45687711,162924631,103990656,266915287,2 hr 6 min,PG-13
Indecent Proposal,1993,Paramount Pictures,April 9 1993 (Domestic),18387632,106614059,160000000,266614059,2 hr 6 min,PG-13
Something's Gotta Give,2003,Sony Pictures Entertainment (SPE),80000000,16064723,124728738,140600000,265328738,2 hr 8 min,PG-13
Bridget Jones: The Edge of Reason,2004,Universal Pictures,40000000,8684055,40226215,224900703,265126918,1 hr 48 min,R
The Incredible Hulk,2008,Universal Pictures,150000000,55414050,134806913,129964083,264770996,1 hr 52 min,PG-13
Waterworld,1995,Universal Pictures,175000000,21171780,88246220,175972000,264218220,2 hr 15 min,PG-13
The Truman Show,1998,Paramount Pictures,June 5 1998 (Domestic),31542121,125618201,138500511,264118712,2 hr 15 min,PG-13
Charlie's Angels,2000,Sony Pictures Entertainment (SPE),93000000,40128550,125305545,138800000,264105545,1 hr 38 min,PG-13
The Fifth Element,1997,Sony Pictures Entertainment (SPE),May 9 1997 (Domestic),17031345,63820180,200100000,263920180,1 hr 38 min,PG-13
Jumanji,1995,Sony Pictures Entertainment (SPE),65000000,11084370,100499940,162322000,262821940,1 hr 44 min,PG
Parasite,2019,Neon,11400000,393216,53369749,209311533,262681282,2 hr 12 min,R
Borat,2006,Twentieth Century Fox,18000000,26455463,128505958,134046935,262552893,1 hr 24 min,R
Robots,2005,Twentieth Century Fox,75000000,36045301,128200012,134311478,262511490,1 hr 31 min,PG
Knight and Day,2010,"$117,000,000 ",75000000,February 28 2008 (South Korea),76423035,185566734,261989769,1 hr 31 min,PG
Total Recall,1990,Sony Pictures Entertainment (SPE),65000000,25533700,119412921,141905000,261317921,1 hr 53 min,NA
This Is It,2009,Sony Pictures Entertainment (SPE),October 28 2009 (47 markets),23234394,72091016,189092572,261183588,1 hr 53 min,NA
Terminator: Dark Fate,2019,Paramount Pictures,185000000,29033832,62253077,198866215,261119292,2 hr 8 min,R
The Lone Ranger,2013,Walt Disney Studios Motion Pictures,215000000,29210849,89302115,171200000,260502115,2 hr 30 min,PG-13
Super 8,2011,Paramount Pictures,50000000,35451168,127004179,133091807,260095986,1 hr 52 min,PG-13
Halloween,2018,Universal Pictures,10000000,76221545,159342015,100597820,259939835,1 hr 46 min,R
Mojin: The Lost Legend,2015,Well Go USA Entertainment,37000000,279974,1243810,258124638,259368448,2 hr 7 min,NA
Charlie's Angels: Full Throttle,2003,Sony Pictures Entertainment (SPE),120000000,37634221,100830111,158345677,259175788,1 hr 46 min,PG-13
Rush Hour 3,2007,New Line Cinema,140000000,50237000,140125968,117971154,258097122,1 hr 31 min,PG-13
The Full Monty,1997,Fox Searchlight,3500000,176585,45950122,211988527,257938649,1 hr 31 min,R
Kung Fu Yoga,2017,Well Go USA Entertainment,65000000,111979,362657,257391232,257753889,1 hr 47 min,NA
Annabelle,2014,Warner Bros.,6500000,37134255,84284252,173305469,257589721,1 hr 39 min,R
Encanto,2021,Walt Disney Studios Motion Pictures,November 24 2021 (11 markets),27206494,96093622,160693120,256786742,1 hr 39 min,R
The Village,2004,Walt Disney Studios Motion Pictures,60000000,50746142,114197520,142500000,256697520,1 hr 48 min,PG-13
Lost in Hong Kong,2015,Well Go USA Entertainment,September 24 2015 (APAC),537736,1302281,254981631,256283912,1 hr 48 min,PG-13
Erin Brockovich,2000,Universal Pictures,52000000,28138465,125595205,130676081,256271286,2 hr 11 min,R
Us,2019,Universal Pictures,20000000,71117625,175084580,80982569,256067149,1 hr 56 min,R
Pegasus,2019,"January 31, 2019 (Australia)",20000000,1 hr 38 min,255863112,255863112,256067149,1 hr 56 min,R
Get Out,2017,"$4,500,000 ",20000000,February 18 2016 (South Korea),176196665,79548492,255745157,1 hr 56 min,R
Marley & Me,2008,Twentieth Century Fox,December 24 2008 (Jamaica),36357586,143153751,112589342,255743093,1 hr 56 min,R
Cliffhanger,1993,TriStar Pictures,70000000,16176967,84049211,170951000,255000211,1 hr 53 min,R
Baahubali 2: The Conclusion,2017,Great India Films,April 27 2017 (EMEA APAC),10430497,20186659,233971731,254158390,1 hr 53 min,R
Babe,1995,Universal Pictures,August 4 1995 (Domestic),8742545,63658910,190476000,254134910,1 hr 53 min,R
Men in Black: International,2019,Sony Pictures Entertainment (SPE),110000000,30035838,80001807,173888894,253890701,1 hr 54 min,PG-13
Wild Hogs,2007,Walt Disney Studios Motion Pictures,March 2 2007 (Domestic),39699023,168273550,85351877,253625427,1 hr 54 min,PG-13
High School Musical 3: Senior Year,2008,Walt Disney Studios Motion Pictures,11000000,42030184,90559416,162349761,252909177,1 hr 52 min,G
Hercules,1997,Walt Disney Studios Motion Pictures,85000000,249567,99112101,153600000,252712101,1 hr 33 min,NA
Dark Phoenix,2019,Twentieth Century Fox,200000000,32828348,65845974,186597000,252442974,1 hr 53 min,PG-13
True Grit,2010,Paramount Pictures,38000000,24830443,171243005,81033922,252276927,1 hr 50 min,PG-13
Dolittle,2020,Universal Pictures,175000000,21844045,77047065,174363566,251410631,1 hr 41 min,PG
Bean,1997,Gramercy Pictures (I),18000000,2255233,45319423,205893247,251212670,1 hr 29 min,PG-13
American Hustle,2013,Sony Pictures Entertainment (SPE),40000000,740455,150117807,101054000,251171807,2 hr 18 min,R
Enemy of the State,1998,Walt Disney Studios Motion Pictures,90000000,20038573,111549836,139299953,250849789,2 hr 12 min,R
You've Got Mail,1998,Warner Bros.,65000000,18426749,115821495,135000000,250821495,1 hr 59 min,PG
Eragon,2006,Twentieth Century Fox,100000000,23239907,75030163,175395349,250425512,1 hr 44 min,PG
Brother Bear,2003,Walt Disney Studios Motion Pictures,October 24 2003 (Domestic),291940,85336277,165061521,250397798,1 hr 44 min,PG
The Godfather,1972,Paramount Pictures,6000000,302393,136381073,113960743,250341816,2 hr 55 min,NA
The Mask of Zorro,1998,Sony Pictures Entertainment (SPE),95000000,22525855,94095523,156193000,250288523,2 hr 16 min,PG-13
The Bad Guys,2022,Universal Pictures,March 16 2022 (Egypt),23950245,97233630,152928648,250162278,2 hr 16 min,PG-13
The Ring,2002,DreamWorks Distribution,48000000,15015393,129128133,120220800,249348933,1 hr 55 min,PG-13
The Blair Witch Project,1999,Artisan Entertainment,60000,1512054,140539099,108100000,248639099,1 hr 21 min,R
Unbreakable,2000,Walt Disney Studios Motion Pictures,75000000,30330771,95011339,153106782,248118121,1 hr 46 min,PG-13
Love Actually,2003,Universal Pictures,40000000,6886080,59696144,188237104,247933248,2 hr 15 min,R
Journey to the West: The Demons Strike Back,2017,Sony Pictures Entertainment (SPE),January 26 2017 (New Zealand),463883,880346,246704898,247585244,2 hr 15 min,R
Dumb and Dumber,1994,New Line Cinema,17000000,16363442,127190327,120100000,247290327,1 hr 47 min,NA
Glass,2019,Universal Pictures,20000000,40328920,111048468,135950571,246999039,2 hr 9 min,PG-13
Grown Ups 2,2013,Sony Pictures Entertainment (SPE),80000000,41508572,133668525,113315753,246984278,1 hr 41 min,PG-13
The Peanuts Movie,2015,Twentieth Century Fox,99000000,44213073,130178411,116054702,246233113,1 hr 28 min,G
Rango,2011,Paramount Pictures,135000000,38079323,123477607,122246996,245724603,1 hr 47 min,PG
Four Weddings and a Funeral,1994,Gramercy Pictures (I),4400000,138486,52700832,193000000,245700832,1 hr 57 min,R
Face/Off,1997,Paramount Pictures,80000000,23387530,112276146,133400000,245676146,2 hr 18 min,R
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Paramount Pictures,135000000,35316382,82051601,163572247,245623848,1 hr 52 min,PG-13
Dark Shadows,2012,Warner Bros.,150000000,29685274,79727149,165800000,245527149,1 hr 53 min,PG-13
Hulk,2003,Universal Pictures,137000000,62128420,132177234,113107931,245285165,2 hr 18 min,PG-13
The Bravest,2019,Sony Pictures Entertainment (SPE),August 1 2019 (China APAC),110375,290217,244889345,245179562,2 hr 18 min,PG-13
Welcome to the Sticks,2008,,August 1 2019 (China APAC),February 27 2008 (EMEA),245144417,245144417,245179562,2 hr 18 min,PG-13
Back to the Future Part III,1990,Universal Pictures,40000000,19089645,88277583,156800000,245077583,1 hr 58 min,NA
Pixels,2015,Sony Pictures Entertainment (SPE),88000000,24011616,78747585,166127224,244874809,1 hr 45 min,PG-13
Hercules,2014,Paramount Pictures,100000000,29800263,72688614,172131248,244819862,1 hr 38 min,PG-13
Rush Hour,1998,New Line Cinema,33000000,33001803,141186864,103534200,244721064,1 hr 38 min,PG-13
Journey to the Center of the Earth,2008,Warner Bros.,60000000,21018141,101704370,142528318,244232688,1 hr 33 min,PG
After Earth,2013,Sony Pictures Entertainment (SPE),130000000,27520040,60522097,183089885,243611982,1 hr 40 min,PG-13
A Few Good Men,1992,Columbia Pictures,41000000,15517468,141340178,101900000,243240178,2 hr 18 min,R
Cloudy with a Chance of Meatballs,2009,Sony Pictures Entertainment (SPE),100000000,30304648,124870275,118135851,243006126,1 hr 30 min,PG
8 Mile,2002,Universal Pictures,41000000,51240555,116750901,126124177,242875078,1 hr 50 min,R
Daddy's Home,2015,Paramount Pictures,December 24 2015 (APAC),38740203,150357137,92429000,242786137,1 hr 50 min,R
RoboCop,2014,Sony Pictures Entertainment (SPE),100000000,21681430,58607007,184081958,242688965,1 hr 57 min,PG-13
Eraser,1996,Warner Bros.,100000000,24566446,101295562,141000000,242295562,1 hr 55 min,R
Alien: Covenant,2017,Twentieth Century Fox,97000000,36160621,74262031,166629732,240891763,2 hr 2 min,R
Sully,2016,Warner Bros.,60000000,35028301,125070033,115727590,240797623,1 hr 36 min,PG-13
Assassin's Creed,2016,Twentieth Century Fox,125000000,10278225,54647948,186049908,240697856,1 hr 55 min,PG-13
Click,2006,Revolution Studios,82500000,40011365,137355633,103329693,240685326,1 hr 47 min,PG-13
Legend of Deification,2020,Well Go USA Entertainment,82500000,October 1 2020 (3 markets),214670,240431685,240646355,1 hr 47 min,PG-13
Planes,2013,Walt Disney Studios Motion Pictures,50000000,22232291,90288712,149883071,240171783,1 hr 31 min,PG
Resident Evil: Retribution,2012,Screen Gems,65000000,21052227,42345531,197813724,240159255,1 hr 35 min,R
Die Hard 2,1990,Twentieth Century Fox,70000000,21744661,117540947,122490327,240031274,2 hr 4 min,NA
Crocodile Dundee II,1988,Paramount Pictures,May 25 1988 (Domestic),24462976,109306210,130300000,239606210,2 hr 4 min,NA
Bullet Train,2022,Sony Pictures Entertainment (SPE),June 30 2022 (Serbia and Montenegro),30030156,103368602,135900000,239268602,2 hr 4 min,NA
Crazy Rich Asians,2018,Warner Bros.,30000000,26510140,174837452,64006277,238843729,2 hr,PG-13
Batman & Robin,1997,Warner Bros.,125000000,42872605,107353792,130881927,238235719,2 hr 5 min,PG-13
Howl's Moving Castle,2004,Walt Disney Studios Motion Pictures,November 20 2004 (Japan),427987,6789268,230746858,237536126,2 hr 5 min,PG-13
Gulliver's Travels,2010,Twentieth Century Fox,112000000,6307691,42779261,194603463,237382724,1 hr 25 min,PG
Gone in 60 Seconds,2000,Walt Disney Studios Motion Pictures,90000000,25336048,101648571,135553728,237202299,1 hr 58 min,PG-13
Saturday Night Fever,1977,Paramount Pictures,December 16 1977 (Domestic),3878099,94213184,142900000,237113184,1 hr 58 min,PG-13
Silver Linings Playbook,2012,The Weinstein Company,21000000,443003,132092958,104319495,236412453,2 hr 2 min,R
2 Fast 2 Furious,2003,Universal Pictures,76000000,50472480,127154901,109195760,236350661,1 hr 47 min,PG-13
Hidden Figures,2016,Twentieth Century Fox,25000000,515499,169607287,66349611,235956898,2 hr 7 min,PG
A.I. Artificial Intelligence,2001,Warner Bros.,100000000,29352630,78616689,157309863,235926552,2 hr 26 min,PG-13
Dead Poets Society,1989,Walt Disney Studios Motion Pictures,June 2 1989 (Domestic),340456,95860116,140000000,235860116,2 hr 26 min,PG-13
Spy,2015,Twentieth Century Fox,65000000,29085719,110825712,124840507,235666219,2 hr,R
American Pie,1999,Universal Pictures,11000000,18709680,102561004,132922000,235483004,1 hr 35 min,R
American Reunion,2012,Universal Pictures,50000000,21514080,57011521,177978063,234989584,1 hr 53 min,R
Big Daddy,1999,Sony Pictures Entertainment (SPE),34200000,41536370,163479795,71322100,234801895,1 hr 33 min,PG-13
Alvin and the Chipmunks: The Road Chip,2015,Twentieth Century Fox,December 18 2015 (Domestic),14287159,85886987,148911649,234798636,1 hr 33 min,PG-13
The Imitation Game,2014,The Weinstein Company,November 14 2014 (United Kingdom),479352,91125683,142430025,233555708,1 hr 33 min,PG-13
Cruella,2021,Walt Disney Studios Motion Pictures,May 26 2021 (APAC EMEA),21496997,86103234,147400000,233503234,1 hr 33 min,PG-13
The Day the Earth Stood Still,2008,Twentieth Century Fox,80000000,30480153,79366978,153726881,233093859,1 hr 44 min,PG-13
American Wedding,2003,Universal Pictures,55000000,33369440,104565114,128157821,232722935,1 hr 36 min,R
The Girl with the Dragon Tattoo,2011,Sony Pictures Entertainment (SPE),90000000,12768604,102515793,130101637,232617430,2 hr 38 min,R
Juno,2007,Fox Searchlight,7500000,413869,143495265,88877416,232372681,1 hr 36 min,PG-13
Argo,2012,Warner Bros.,44500000,19458109,136025503,96300000,232325503,2 hr,R
Mr. Bean's Holiday,2007,Universal Pictures,March 22 2007 (APAC),9889780,33302167,198923741,232225908,2 hr,R
The English Patient,1996,Miramax,27000000,278439,78676425,153300000,231976425,2 hr 42 min,R
Sister Act,1992,Walt Disney Studios Motion Pictures,May 29 1992 (Domestic),11894587,139605150,92000000,231605150,2 hr 42 min,R
Annabelle Comes Home,2019,Warner Bros.,30000000,20269723,74152591,157100000,231252591,1 hr 46 min,R
Constantine,2005,Warner Bros.,100000000,29769098,75976178,154908550,230884728,2 hr 1 min,R
Get Smart,2008,Warner Bros.,80000000,38683480,130319208,100366245,230685453,1 hr 50 min,PG-13
Space Jam,1996,Warner Bros.,November 15 1996 (Domestic),27528529,90594962,140000000,230594962,1 hr 50 min,PG-13
Life Is Beautiful,1997,Miramax,October 23 1998 (Domestic),118920,57563264,172535749,230099013,1 hr 50 min,PG-13
The Heat,2013,Twentieth Century Fox,43000000,39115043,159582188,70348583,229930771,1 hr 57 min,R
Ghostbusters,2016,Sony Pictures Entertainment (SPE),144000000,46018755,128350574,100796935,229147509,1 hr 57 min,PG-13
Ghost Rider,2007,Sony Pictures Entertainment (SPE),110000000,45388836,115802596,112935797,228738393,1 hr 50 min,PG-13
Goodbye Mr. Loser,2015,China Lion Film Distribution,September 25 2015 (China),363949,1293626,226829302,228122928,1 hr 50 min,PG-13
Paddington 2,2017,Warner Bros.,November 9 2017 (EMEA),11001961,40907738,187087054,227994792,1 hr 50 min,PG-13
Sleepless in Seattle,1993,TriStar Pictures,21000000,17253733,126808165,101119000,227927165,1 hr 45 min,PG
Lethal Weapon 2,1989,Warner Bros.,July 7 1989 (Domestic),20388800,147253986,80600000,227853986,1 hr 45 min,PG
The Green Hornet,2011,Sony Pictures Entertainment (SPE),120000000,33526876,98780042,129037206,227817248,1 hr 59 min,PG-13
Out of Africa,1985,Universal Pictures,December 20 1985 (Domestic),3637290,87071205,140443000,227514205,1 hr 59 min,PG-13
Elf,2003,New Line Cinema,33000000,32100000,178053220,49302936,227356156,1 hr 37 min,PG
Youth,2017,China Lion Film Distribution,December 14 2017 (APAC),338604,1891956,225199334,227091290,1 hr 37 min,PG
Baby Driver,2017,TriStar Pictures,34000000,20553320,107825862,119119225,226945087,1 hr 53 min,R
Immortals,2011,Relativity Media,75000000,32206425,83504017,143400000,226904017,1 hr 50 min,R
Taken,2008,Twentieth Century Fox,25000000,24717037,145000989,81836771,226837760,1 hr 30 min,PG-13
Percy Jackson & the Olympians: The Lightning Thief,2010,Twentieth Century Fox,95000000,31236067,88768303,137728906,226497209,1 hr 58 min,PG
Lightyear,2022,Walt Disney Studios Motion Pictures,June 15 2022 (EMEA APAC),50577961,118307188,108118232,226425420,1 hr 58 min,PG
Hansel & Gretel: Witch Hunters,2013,Paramount Pictures,50000000,19690956,55703475,170646274,226349749,1 hr 28 min,R
Valerian and the City of a Thousand Planets,2017,STX Entertainment,177200000,17007624,41189488,184783852,225973340,2 hr 16 min,PG-13
Good Will Hunting,1997,Miramax,December 5 1997 (Domestic),272912,138433435,87500000,225933435,2 hr 16 min,PG-13
Better Days,2019,Well Go USA Entertainment,June 27 2019 (APAC),989536,1921657,223997141,225918798,2 hr 16 min,PG-13
Ford v Ferrari,2019,Twentieth Century Fox,97600000,31474958,117624357,107883853,225508210,2 hr 32 min,PG-13
Jumper,2008,Twentieth Century Fox,85000000,27354808,80172128,144959985,225132113,1 hr 28 min,PG-13
The Social Network,2010,Sony Pictures Entertainment (SPE),40000000,22445653,96962694,127957681,224920375,2 hr,PG-13
Chicken Run,2000,DreamWorks Distribution,45000000,17506162,106834564,118040396,224874960,1 hr 24 min,NA
Con Air,1997,Walt Disney Studios Motion Pictures,75000000,24131738,101117573,122894661,224012234,1 hr 55 min,R
Interview with the Vampire: The Vampire Chronicles,1994,Warner Bros.,60000000,36389705,105264608,118400000,223664608,2 hr 3 min,R
Flightplan,2005,Walt Disney Studios Motion Pictures,September 23 2005 (Domestic),24629938,89707299,133680000,223387299,2 hr 3 min,R
Yes Man,2008,Warner Bros.,70000000,18262471,97690976,125550661,223241637,1 hr 44 min,PG-13
Non-Stop,2014,Universal Pictures,50000000,28875635,92168600,130641000,222809600,1 hr 46 min,PG-13
"Honey, I Shrunk the Kids",1989,Walt Disney Studios Motion Pictures,June 23 1989 (Domestic),14262961,130724172,92000000,222724172,1 hr 46 min,PG-13
Fahrenheit 9/11,2004,Lionsgate,6000000,23920637,119194771,103252111,222446882,2 hr 2 min,R
Wild Wild West,1999,Warner Bros.,170000000,27687484,113804681,108300000,222104681,1 hr 46 min,PG-13
"My Country, My Parents",2021,CMC Pictures,September 30 2021 (China),75302,177133,221653953,221831086,1 hr 46 min,PG-13
Geostorm,2017,Warner Bros.,120000000,13707376,33700160,187900000,221600160,1 hr 49 min,PG-13
